variable,pct_valid,label,,group,source_type,,
TT4G68F1,97,School Climate/ Feedback types/ Self-assessment of my work/ External individuals or bodies,,School Climate / Feedback types / Self-assessment of my work,teacher questionnaire item,,
TT4G68F2,96.8,School Climate/ Feedback types/ Self-assessment of my work/ Principal or member(s) of SMT,,School Climate / Feedback types / Self-assessment of my work,teacher questionnaire item,,
TT4G68F3,96.8,School Climate/ Feedback types/ Self-assessment of my work/ Other colleagues within the school,,School Climate / Feedback types / Self-assessment of my work,teacher questionnaire item,,
TT4G68F4,96.4,School Climate/ Feedback types/ Self-assessment of my work/ I have never received this Feedback types,,School Climate / Feedback types / Self-assessment of my work,teacher questionnaire item,,
TT4G68B1,97.2,School Climate/ Feedback types/ Student survey response/ External individuals or bodies,,School Climate / Feedback types / Student survey response,teacher questionnaire item,,
TT4G68B2,97,School Climate/ Feedback types/ Student survey responses/ Principal or member(s) of SMT,,School Climate / Feedback types / Student survey responses,teacher questionnaire item,,
TT4G68B3,97,School Climate/ Feedback types/ Student survey responses/ Other colleagues within the school,,School Climate / Feedback types / Student survey responses,teacher questionnaire item,,
TT4G68B4,96.6,School Climate/ Feedback types/ Student survey responses/ I have never received this Feedback types,,School Climate / Feedback types / Student survey responses,teacher questionnaire item,,
TT4G64B,98.6,School Climate/ General school climate/ School provides parents/guardians with opportunities to actively participate,,School Climate / General school climate / School provides parents,teacher questionnaire item,,
TT4G64A,98.9,School Climate/ General school climate/ School provides staff opportunities to participate in school decisions,,School Climate / General school climate / School provides staff opportunities to participate in school decisions,teacher questionnaire item,,
TT4G64C,98.6,School Climate/ General school climate/ School provides students with opportunities to participate,,School Climate / General school climate / School provides students with opportunities to participate,teacher questionnaire item,,
TT4G64H,98.7,School Climate/ General school climate/ Teachers can rely on each other,,School Climate / General school climate / Teachers can rely on each other,teacher questionnaire item,,
TT4G64J,98.5,School Climate/ General school climate/ Teachers initiate and lead collaborative activities,,School Climate / General school climate / Teachers initiate and lead collaborative activities,teacher questionnaire item,,
TT4G64K,98.5,School Climate/ General school climate/ Teachers lead their professional growth and development activities,,School Climate / General school climate / Teachers lead their professional growth and development activities,teacher questionnaire item,,
TT4G64L,98.3,School Climate/ General school climate/ Teachers participate in non-teaching school events and projects,,School Climate / General school climate / Teachers participate in non-teaching school events and projects,teacher questionnaire item,,
TT4G64I,98.3,School Climate/ General school climate/ Teachers take leadership roles in promoting a professional learning community,,School Climate / General school climate / Teachers take leadership roles in promoting a professional learning community,teacher questionnaire item,,
TT4G64F,98.7,School Climate/ General school climate/ The school staff enforces rules for student behaviour consistently,,School Climate / General school climate / The school staff enforces rules for student behaviour consistently,teacher questionnaire item,,
TT4G64E,98.6,School Climate/ General school climate/ The school staff share a common set of beliefs about teaching and learning,,School Climate / General school climate / The school staff share a common set of beliefs about teaching and learning,teacher questionnaire item,,
TT4G64D,98.6,School Climate/ General school climate/ There is a collaborative school culture,,School Climate / General school climate / There is a collaborative school culture,teacher questionnaire item,,
TT4G64G,98.6,School Climate/ General school climate/ This school encourages staff to lead new initiatives,,School Climate / General school climate / This school encourages staff to lead new initiatives,teacher questionnaire item,,
