variable_name,column_number_ttgintt4,source_type,teacher_questionnaire_question,item,section,description,response_scale_or_values,available_idpop,available_files,recommended_cleaning_note
TT4G07A,17,teacher questionnaire item,Q7,A,Background and qualification,Extent to which formal education/training prepared the teacher for teaching aspects. Item A.,"Extent/frequency scale, generally 1-4; confirm direction before scoring.","1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G07B,18,teacher questionnaire item,Q7,B,Background and qualification,Extent to which formal education/training prepared the teacher for teaching aspects. Item B.,"Extent/frequency scale, generally 1-4; confirm direction before scoring.","1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G07C,19,teacher questionnaire item,Q7,C,Background and qualification,Extent to which formal education/training prepared the teacher for teaching aspects. Item C.,"Extent/frequency scale, generally 1-4; confirm direction before scoring.","1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G07D,20,teacher questionnaire item,Q7,D,Background and qualification,Extent to which formal education/training prepared the teacher for teaching aspects. Item D.,"Extent/frequency scale, generally 1-4; confirm direction before scoring.","1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G07E,21,teacher questionnaire item,Q7,E,Background and qualification,Extent to which formal education/training prepared the teacher for teaching aspects. Item E.,"Extent/frequency scale, generally 1-4; confirm direction before scoring.","1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G07F,22,teacher questionnaire item,Q7,F,Background and qualification,Extent to which formal education/training prepared the teacher for teaching aspects. Item F.,"Extent/frequency scale, generally 1-4; confirm direction before scoring.","1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G07G,23,teacher questionnaire item,Q7,G,Background and qualification,Extent to which formal education/training prepared the teacher for teaching aspects. Item G.,"Extent/frequency scale, generally 1-4; confirm direction before scoring.","1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G07I,24,teacher questionnaire item,Q7,I,Background and qualification,Extent to which formal education/training prepared the teacher for teaching aspects. Item I.,"Extent/frequency scale, generally 1-4; confirm direction before scoring.",1,"atgintt4, ttgintt4",ISCED 1 primary-only item; expect structural missing values for ISCED 2/3 in the combined file.
TT4G07J,25,teacher questionnaire item,Q7,J,Background and qualification,Extent to which formal education/training prepared the teacher for teaching aspects. Item J.,"Extent/frequency scale, generally 1-4; confirm direction before scoring.",1,"atgintt4, ttgintt4",ISCED 1 primary-only item; expect structural missing values for ISCED 2/3 in the combined file.
TT4G08,26,teacher questionnaire item,Q8,,Background and qualification,Whether teaching was the teacher's first career choice.,Single-choice categorical; see teacher questionnaire for labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G09,27,teacher questionnaire item,Q9,,Current work,Employment status as a teacher at this school.,Single-choice categorical; see teacher questionnaire for labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G10,28,teacher questionnaire item,Q10,,Current work,Whether the teacher works as an ISCED level x teacher at another school.,Single-choice categorical; see teacher questionnaire for labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G14,29,teacher questionnaire item,Q14,,Current work,Total job-related working hours in the most recent complete calendar week.,Numeric count/hours/years; inspect valid ranges before analysis.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G15,30,teacher questionnaire item,Q15,,Current work,Teaching hours at this school in the most recent complete calendar week.,Numeric count/hours/years; inspect valid ranges before analysis.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G16A,31,teacher questionnaire item,Q16,A,Current work,Hours spent on non-teaching work tasks in the most recent complete calendar week. Item A.,Numeric count/hours/years; inspect valid ranges before analysis.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G16B,32,teacher questionnaire item,Q16,B,Current work,Hours spent on non-teaching work tasks in the most recent complete calendar week. Item B.,Numeric count/hours/years; inspect valid ranges before analysis.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G16C,33,teacher questionnaire item,Q16,C,Current work,Hours spent on non-teaching work tasks in the most recent complete calendar week. Item C.,Numeric count/hours/years; inspect valid ranges before analysis.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G16D,34,teacher questionnaire item,Q16,D,Current work,Hours spent on non-teaching work tasks in the most recent complete calendar week. Item D.,Numeric count/hours/years; inspect valid ranges before analysis.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G16E,35,teacher questionnaire item,Q16,E,Current work,Hours spent on non-teaching work tasks in the most recent complete calendar week. Item E.,Numeric count/hours/years; inspect valid ranges before analysis.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G16F,36,teacher questionnaire item,Q16,F,Current work,Hours spent on non-teaching work tasks in the most recent complete calendar week. Item F.,Numeric count/hours/years; inspect valid ranges before analysis.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G16G,37,teacher questionnaire item,Q16,G,Current work,Hours spent on non-teaching work tasks in the most recent complete calendar week. Item G.,Numeric count/hours/years; inspect valid ranges before analysis.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G16H,38,teacher questionnaire item,Q16,H,Current work,Hours spent on non-teaching work tasks in the most recent complete calendar week. Item H.,Numeric count/hours/years; inspect valid ranges before analysis.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G16I,39,teacher questionnaire item,Q16,I,Current work,Hours spent on non-teaching work tasks in the most recent complete calendar week. Item I.,Numeric count/hours/years; inspect valid ranges before analysis.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G16J,40,teacher questionnaire item,Q16,J,Current work,Hours spent on non-teaching work tasks in the most recent complete calendar week. Item J.,Numeric count/hours/years; inspect valid ranges before analysis.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G17A,41,teacher questionnaire item,Q17,A,Professional learning,Whether the teacher took part in formal or informal induction activities at this school. Item A.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G17B,42,teacher questionnaire item,Q17,B,Professional learning,Whether the teacher took part in formal or informal induction activities at this school. Item B.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G18A,43,teacher questionnaire item,Q18,A,Professional learning,Provisions included in induction at this school. Item A.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G18B,44,teacher questionnaire item,Q18,B,Professional learning,Provisions included in induction at this school. Item B.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G18C,45,teacher questionnaire item,Q18,C,Professional learning,Provisions included in induction at this school. Item C.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G18D,46,teacher questionnaire item,Q18,D,Professional learning,Provisions included in induction at this school. Item D.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G18E,47,teacher questionnaire item,Q18,E,Professional learning,Provisions included in induction at this school. Item E.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G18F,48,teacher questionnaire item,Q18,F,Professional learning,Provisions included in induction at this school. Item F.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G18G,49,teacher questionnaire item,Q18,G,Professional learning,Provisions included in induction at this school. Item G.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G18H,50,teacher questionnaire item,Q18,H,Professional learning,Provisions included in induction at this school. Item H.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G18I,51,teacher questionnaire item,Q18,I,Professional learning,Provisions included in induction at this school. Item I.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G18J,52,teacher questionnaire item,Q18,J,Professional learning,Provisions included in induction at this school. Item J.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G18K,53,teacher questionnaire item,Q18,K,Professional learning,Provisions included in induction at this school. Item K.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G19A,54,teacher questionnaire item,Q19,A,Professional learning,Current involvement in formal mentoring activities. Item A.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G19B,55,teacher questionnaire item,Q19,B,Professional learning,Current involvement in formal mentoring activities. Item B.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G20A,56,teacher questionnaire item,Q20,A,Professional learning,Professional learning activities participated in during the last 12 months. Item A.,See teacher questionnaire/codebook for response labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G20B,57,teacher questionnaire item,Q20,B,Professional learning,Professional learning activities participated in during the last 12 months. Item B.,See teacher questionnaire/codebook for response labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G20C,58,teacher questionnaire item,Q20,C,Professional learning,Professional learning activities participated in during the last 12 months. Item C.,See teacher questionnaire/codebook for response labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G20D,59,teacher questionnaire item,Q20,D,Professional learning,Professional learning activities participated in during the last 12 months. Item D.,See teacher questionnaire/codebook for response labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G20E,60,teacher questionnaire item,Q20,E,Professional learning,Professional learning activities participated in during the last 12 months. Item E.,See teacher questionnaire/codebook for response labels.,"2,3","btgintt4, ctgintt4, ttgintt4",ISCED 2/3-only item; expect structural missing values for ISCED 1 in the combined file.
TT4G20F,61,teacher questionnaire item,Q20,F,Professional learning,Professional learning activities participated in during the last 12 months. Item F.,See teacher questionnaire/codebook for response labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G20G,62,teacher questionnaire item,Q20,G,Professional learning,Professional learning activities participated in during the last 12 months. Item G.,See teacher questionnaire/codebook for response labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G20H,63,teacher questionnaire item,Q20,H,Professional learning,Professional learning activities participated in during the last 12 months. Item H.,See teacher questionnaire/codebook for response labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G20I,64,teacher questionnaire item,Q20,I,Professional learning,Professional learning activities participated in during the last 12 months. Item I.,See teacher questionnaire/codebook for response labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G20J,65,teacher questionnaire item,Q20,J,Professional learning,Professional learning activities participated in during the last 12 months. Item J.,See teacher questionnaire/codebook for response labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G21A,66,teacher questionnaire item,Q21,A,Professional learning,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item A.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G21B,67,teacher questionnaire item,Q21,B,Professional learning,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item B.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G21C,68,teacher questionnaire item,Q21,C,Professional learning,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item C.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G21D,69,teacher questionnaire item,Q21,D,Professional learning,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item D.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G21E,70,teacher questionnaire item,Q21,E,Professional learning,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item E.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G21F,71,teacher questionnaire item,Q21,F,Professional learning,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item F.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G21G,72,teacher questionnaire item,Q21,G,Professional learning,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item G.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G21H,73,teacher questionnaire item,Q21,H,Professional learning,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item H.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G21I,74,teacher questionnaire item,Q21,I,Professional learning,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item I.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G21J,75,teacher questionnaire item,Q21,J,Professional learning,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item J.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G21K,76,teacher questionnaire item,Q21,K,Professional learning,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item K.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G21L,77,teacher questionnaire item,Q21,L,Professional learning,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item L.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G21M,78,teacher questionnaire item,Q21,M,Professional learning,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item M.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G21N,79,teacher questionnaire item,Q21,N,Professional learning,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item N.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G21O,80,teacher questionnaire item,Q21,O,Professional learning,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item O.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G21Q,81,teacher questionnaire item,Q21,Q,Professional learning,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item Q.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,1,"atgintt4, ttgintt4",ISCED 1 primary-only item; expect structural missing values for ISCED 2/3 in the combined file.
TT4G21R,82,teacher questionnaire item,Q21,R,Professional learning,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item R.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,1,"atgintt4, ttgintt4",ISCED 1 primary-only item; expect structural missing values for ISCED 2/3 in the combined file.
TT4G21S,83,teacher questionnaire item,Q21,S,Professional learning,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item S.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G22,84,teacher questionnaire item,Q22,,Professional learning,Impact of professional learning activities.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G23A,85,teacher questionnaire item,Q23,A,Professional learning,Need for professional learning in listed topic areas. Item A.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G23B,86,teacher questionnaire item,Q23,B,Professional learning,Need for professional learning in listed topic areas. Item B.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G23C,87,teacher questionnaire item,Q23,C,Professional learning,Need for professional learning in listed topic areas. Item C.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G23D,88,teacher questionnaire item,Q23,D,Professional learning,Need for professional learning in listed topic areas. Item D.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G23E,89,teacher questionnaire item,Q23,E,Professional learning,Need for professional learning in listed topic areas. Item E.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G23F,90,teacher questionnaire item,Q23,F,Professional learning,Need for professional learning in listed topic areas. Item F.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G23G,91,teacher questionnaire item,Q23,G,Professional learning,Need for professional learning in listed topic areas. Item G.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G23H,92,teacher questionnaire item,Q23,H,Professional learning,Need for professional learning in listed topic areas. Item H.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G23I,93,teacher questionnaire item,Q23,I,Professional learning,Need for professional learning in listed topic areas. Item I.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
