new_name,variable_name,description
provisions_included_in_induction_at_this_school_d,TT4G18D,Provisions included in induction at this school. Item D.
provisions_included_in_induction_at_this_school_e,TT4G18E,Provisions included in induction at this school. Item E.
provisions_included_in_induction_at_this_school_f,TT4G18F,Provisions included in induction at this school. Item F.
provisions_included_in_induction_at_this_school_g,TT4G18G,Provisions included in induction at this school. Item G.
provisions_included_in_induction_at_this_school_h,TT4G18H,Provisions included in induction at this school. Item H.
provisions_included_in_induction_at_this_school_i,TT4G18I,Provisions included in induction at this school. Item I.
provisions_included_in_induction_at_this_school_j,TT4G18J,Provisions included in induction at this school. Item J.
provisions_included_in_induction_at_this_school_k,TT4G18K,Provisions included in induction at this school. Item K.
current_involvement_in_formal_mentoring_activities_a,TT4G19A,Current involvement in formal mentoring activities. Item A.
current_involvement_in_formal_mentoring_activities_b,TT4G19B,Current involvement in formal mentoring activities. Item B.
professional_learning_activities_participated_in_during_the_a,TT4G20A,Professional learning activities participated in during the last 12 months. Item A.
professional_learning_activities_participated_in_during_the_b,TT4G20B,Professional learning activities participated in during the last 12 months. Item B.
professional_learning_activities_participated_in_during_the_c,TT4G20C,Professional learning activities participated in during the last 12 months. Item C.
professional_learning_activities_participated_in_during_the_d,TT4G20D,Professional learning activities participated in during the last 12 months. Item D.
professional_learning_activities_participated_in_during_the_e,TT4G20E,Professional learning activities participated in during the last 12 months. Item E.
professional_learning_activities_participated_in_during_the_f,TT4G20F,Professional learning activities participated in during the last 12 months. Item F.
professional_learning_activities_participated_in_during_the_g,TT4G20G,Professional learning activities participated in during the last 12 months. Item G.
professional_learning_activities_participated_in_during_the_h,TT4G20H,Professional learning activities participated in during the last 12 months. Item H.
professional_learning_activities_participated_in_during_the_i,TT4G20I,Professional learning activities participated in during the last 12 months. Item I.
professional_learning_activities_participated_in_during_the_j,TT4G20J,Professional learning activities participated in during the last 12 months. Item J.
topics_included_in_professional_learning_activities_during_t_a,TT4G21A,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item A."
topics_included_in_professional_learning_activities_during_t_b,TT4G21B,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item B."
topics_included_in_professional_learning_activities_during_t_c,TT4G21C,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item C."
topics_included_in_professional_learning_activities_during_t_d,TT4G21D,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item D."
topics_included_in_professional_learning_activities_during_t_e,TT4G21E,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item E."
topics_included_in_professional_learning_activities_during_t_f,TT4G21F,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item F."
topics_included_in_professional_learning_activities_during_t_g,TT4G21G,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item G."
topics_included_in_professional_learning_activities_during_t_h,TT4G21H,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item H."
topics_included_in_professional_learning_activities_during_t_i,TT4G21I,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item I."
topics_included_in_professional_learning_activities_during_t_j,TT4G21J,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item J."
topics_included_in_professional_learning_activities_during_t_k,TT4G21K,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item K."
topics_included_in_professional_learning_activities_during_t_l,TT4G21L,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item L."
topics_included_in_professional_learning_activities_during_t_m,TT4G21M,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item M."
topics_included_in_professional_learning_activities_during_t_n,TT4G21N,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item N."
topics_included_in_professional_learning_activities_during_t_o,TT4G21O,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item O."
topics_included_in_professional_learning_activities_during_t_q,TT4G21Q,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item Q."
topics_included_in_professional_learning_activities_during_t_r,TT4G21R,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item R."
topics_included_in_professional_learning_activities_during_t_s,TT4G21S,"Topics included in professional learning activities during the last 12 months, including digital resources, artificial intelligence, special education needs, social/emotional learning, and environmental sustainability. Item S."
impact_of_professional_learning_activities,TT4G22,Impact of professional learning activities.
need_for_professional_learning_in_listed_topic_areas_a,TT4G23A,Need for professional learning in listed topic areas. Item A.
need_for_professional_learning_in_listed_topic_areas_b,TT4G23B,Need for professional learning in listed topic areas. Item B.
need_for_professional_learning_in_listed_topic_areas_c,TT4G23C,Need for professional learning in listed topic areas. Item C.
need_for_professional_learning_in_listed_topic_areas_d,TT4G23D,Need for professional learning in listed topic areas. Item D.
need_for_professional_learning_in_listed_topic_areas_e,TT4G23E,Need for professional learning in listed topic areas. Item E.
need_for_professional_learning_in_listed_topic_areas_f,TT4G23F,Need for professional learning in listed topic areas. Item F.
need_for_professional_learning_in_listed_topic_areas_g,TT4G23G,Need for professional learning in listed topic areas. Item G.
need_for_professional_learning_in_listed_topic_areas_h,TT4G23H,Need for professional learning in listed topic areas. Item H.
need_for_professional_learning_in_listed_topic_areas_i,TT4G23I,Need for professional learning in listed topic areas. Item I.
need_for_professional_learning_in_listed_topic_areas_j,TT4G23J,Need for professional learning in listed topic areas. Item J.
need_for_professional_learning_in_listed_topic_areas_k,TT4G23K,Need for professional learning in listed topic areas. Item K.
need_for_professional_learning_in_listed_topic_areas_l,TT4G23L,Need for professional learning in listed topic areas. Item L.
barriers_that_prevented_participation_in_desired_professiona_a,TT4G24A,Barriers that prevented participation in desired professional learning. Item A.
barriers_that_prevented_participation_in_desired_professiona_b,TT4G24B,Barriers that prevented participation in desired professional learning. Item B.
barriers_that_prevented_participation_in_desired_professiona_c,TT4G24C,Barriers that prevented participation in desired professional learning. Item C.
barriers_that_prevented_participation_in_desired_professiona_d,TT4G24D,Barriers that prevented participation in desired professional learning. Item D.
barriers_that_prevented_participation_in_desired_professiona_e,TT4G24E,Barriers that prevented participation in desired professional learning. Item E.
barriers_that_prevented_participation_in_desired_professiona_f,TT4G24F,Barriers that prevented participation in desired professional learning. Item F.
barriers_that_prevented_participation_in_desired_professiona_g,TT4G24G,Barriers that prevented participation in desired professional learning. Item G.
barriers_that_prevented_participation_in_desired_professiona_h,TT4G24H,Barriers that prevented participation in desired professional learning. Item H.
barriers_that_prevented_participation_in_desired_professiona_i,TT4G24I,Barriers that prevented participation in desired professional learning. Item I.
barriers_that_prevented_participation_in_desired_professiona_j,TT4G24J,Barriers that prevented participation in desired professional learning. Item J.
barriers_that_prevented_participation_in_desired_professiona_k,TT4G24K,Barriers that prevented participation in desired professional learning. Item K.
barriers_that_prevented_participation_in_desired_professiona_l,TT4G24L,Barriers that prevented participation in desired professional learning. Item L.
barriers_that_prevented_participation_in_desired_professiona_m,TT4G24M,Barriers that prevented participation in desired professional learning. Item M.
barriers_that_prevented_participation_in_desired_professiona_n,TT4G24N,Barriers that prevented participation in desired professional learning. Item N.
barriers_that_prevented_participation_in_desired_professiona_o,TT4G24O,Barriers that prevented participation in desired professional learning. Item O.
barriers_that_prevented_participation_in_desired_professiona_q,TT4G24Q,Barriers that prevented participation in desired professional learning. Item Q.
barriers_that_prevented_participation_in_desired_professiona_r,TT4G24R,Barriers that prevented participation in desired professional learning. Item R.
professional_collaboration_and_exchange_with_colleagues_a,TT4G25A,Professional collaboration and exchange with colleagues. Item A.
professional_collaboration_and_exchange_with_colleagues_b,TT4G25B,Professional collaboration and exchange with colleagues. Item B.
professional_collaboration_and_exchange_with_colleagues_c,TT4G25C,Professional collaboration and exchange with colleagues. Item C.
professional_collaboration_and_exchange_with_colleagues_d,TT4G25D,Professional collaboration and exchange with colleagues. Item D.
professional_collaboration_and_exchange_with_colleagues_e,TT4G25E,Professional collaboration and exchange with colleagues. Item E.
professional_collaboration_and_exchange_with_colleagues_f,TT4G25F,Professional collaboration and exchange with colleagues. Item F.
professional_collaboration_and_exchange_with_colleagues_g,TT4G25G,Professional collaboration and exchange with colleagues. Item G.
professional_collaboration_and_exchange_with_colleagues_h,TT4G25H,Professional collaboration and exchange with colleagues. Item H.
professional_collaboration_and_exchange_with_colleagues_i,TT4G25I,Professional collaboration and exchange with colleagues. Item I.
feedback_received_about_teaching_a,TT4G26A,Feedback received about teaching. Item A.
feedback_received_about_teaching_b,TT4G26B,Feedback received about teaching. Item B.
feedback_received_about_teaching_c,TT4G26C,Feedback received about teaching. Item C.
feedback_received_about_teaching_d,TT4G26D,Feedback received about teaching. Item D.
feedback_received_about_teaching_e,TT4G26E,Feedback received about teaching. Item E.
feedback_received_about_teaching_f,TT4G26F,Feedback received about teaching. Item F.
feedback_received_about_teaching_g,TT4G26G,Feedback received about teaching. Item G.
feedback_received_about_teaching_h,TT4G26H,Feedback received about teaching. Item H.
perceived_impact_of_feedback_on_teaching_practice_a,TT4G27A,Perceived impact of feedback on teaching practice. Item A.
perceived_impact_of_feedback_on_teaching_practice_b,TT4G27B,Perceived impact of feedback on teaching practice. Item B.
perceived_impact_of_feedback_on_teaching_practice_c,TT4G27C,Perceived impact of feedback on teaching practice. Item C.
perceived_impact_of_feedback_on_teaching_practice_d,TT4G27D,Perceived impact of feedback on teaching practice. Item D.
perceived_impact_of_feedback_on_teaching_practice_e,TT4G27E,Perceived impact of feedback on teaching practice. Item E.
perceived_impact_of_feedback_on_teaching_practice_f,TT4G27F,Perceived impact of feedback on teaching practice. Item F.
perceived_impact_of_feedback_on_teaching_practice_g,TT4G27G,Perceived impact of feedback on teaching practice. Item G.
perceived_impact_of_feedback_on_teaching_practice_h,TT4G27H,Perceived impact of feedback on teaching practice. Item H.
perceived_impact_of_feedback_on_teaching_practice_i,TT4G27I,Perceived impact of feedback on teaching practice. Item I.
perceived_impact_of_feedback_on_teaching_practice_j,TT4G27J,Perceived impact of feedback on teaching practice. Item J.
perceived_impact_of_feedback_on_teaching_practice_k,TT4G27K,Perceived impact of feedback on teaching practice. Item K.
perceived_impact_of_feedback_on_teaching_practice_l,TT4G27L,Perceived impact of feedback on teaching practice. Item L.
perceived_impact_of_feedback_on_teaching_practice_m,TT4G27M,Perceived impact of feedback on teaching practice. Item M.
perceived_impact_of_feedback_on_teaching_practice_n,TT4G27N,Perceived impact of feedback on teaching practice. Item N.
perceived_impact_of_feedback_on_teaching_practice_o,TT4G27O,Perceived impact of feedback on teaching practice. Item O.
perceived_impact_of_feedback_on_teaching_practice_p,TT4G27P,Perceived impact of feedback on teaching practice. Item P.
perceived_impact_of_feedback_on_teaching_practice_r,TT4G27R,Perceived impact of feedback on teaching practice. Item R.
teacher_appraisal_and_review_practices_a,TT4G28A,Teacher appraisal and review practices. Item A.
teacher_appraisal_and_review_practices_b,TT4G28B,Teacher appraisal and review practices. Item B.
teacher_appraisal_and_review_practices_c,TT4G28C,Teacher appraisal and review practices. Item C.
teacher_appraisal_and_review_practices_d,TT4G28D,Teacher appraisal and review practices. Item D.
teacher_appraisal_and_review_practices_e,TT4G28E,Teacher appraisal and review practices. Item E.
teacher_appraisal_and_review_practices_f,TT4G28F,Teacher appraisal and review practices. Item F.
teacher_appraisal_and_review_practices_g,TT4G28G,Teacher appraisal and review practices. Item G.
classroom_school_conditions_and_student_composition_a,TT4G30A,Classroom/school conditions and student composition. Item A.
classroom_school_conditions_and_student_composition_b,TT4G30B,Classroom/school conditions and student composition. Item B.
classroom_school_conditions_and_student_composition_c,TT4G30C,Classroom/school conditions and student composition. Item C.
teacher_beliefs_and_attitudes_about_diversity_equity_a,TT4G31A,Teacher beliefs and attitudes about diversity/equity. Item A.
teacher_beliefs_and_attitudes_about_diversity_equity_b,TT4G31B,Teacher beliefs and attitudes about diversity/equity. Item B.
teacher_beliefs_and_attitudes_about_diversity_equity_c,TT4G31C,Teacher beliefs and attitudes about diversity/equity. Item C.
teacher_beliefs_and_attitudes_about_diversity_equity_d,TT4G31D,Teacher beliefs and attitudes about diversity/equity. Item D.
teacher_beliefs_and_attitudes_about_diversity_equity_e,TT4G31E,Teacher beliefs and attitudes about diversity/equity. Item E.
teacher_beliefs_and_attitudes_about_diversity_equity_f,TT4G31F,Teacher beliefs and attitudes about diversity/equity. Item F.
school_policies_or_practices_related_to_diversity_equity_a,TT4G32A,School policies or practices related to diversity/equity. Item A.
school_policies_or_practices_related_to_diversity_equity_b,TT4G32B,School policies or practices related to diversity/equity. Item B.
school_policies_or_practices_related_to_diversity_equity_c,TT4G32C,School policies or practices related to diversity/equity. Item C.
teacher_practices_related_to_social_and_emotional_learning_a,TT4G33A,Teacher practices related to social and emotional learning. Item A.
teacher_practices_related_to_social_and_emotional_learning_b,TT4G33B,Teacher practices related to social and emotional learning. Item B.
teacher_practices_related_to_social_and_emotional_learning_c,TT4G33C,Teacher practices related to social and emotional learning. Item C.
teacher_practices_related_to_social_and_emotional_learning_d,TT4G33D,Teacher practices related to social and emotional learning. Item D.
teacher_practices_related_to_social_and_emotional_learning_e,TT4G33E,Teacher practices related to social and emotional learning. Item E.
teacher_practices_related_to_social_and_emotional_learning_f,TT4G33F,Teacher practices related to social and emotional learning. Item F.
teacher_practices_related_to_social_and_emotional_learning_g,TT4G33G,Teacher practices related to social and emotional learning. Item G.
school_climate_safety_and_student_relations_a,TT4G34A,"School climate, safety, and student relations. Item A."
school_climate_safety_and_student_relations_b,TT4G34B,"School climate, safety, and student relations. Item B."
school_climate_safety_and_student_relations_c,TT4G34C,"School climate, safety, and student relations. Item C."
school_climate_safety_and_student_relations_d,TT4G34D,"School climate, safety, and student relations. Item D."
school_climate_safety_and_student_relations_e,TT4G34E,"School climate, safety, and student relations. Item E."
school_climate_safety_and_student_relations_f,TT4G34F,"School climate, safety, and student relations. Item F."
school_climate_safety_and_student_relations_g,TT4G34G,"School climate, safety, and student relations. Item G."
school_climate_safety_and_student_relations_h,TT4G34H,"School climate, safety, and student relations. Item H."
teacher_collaboration_and_professional_culture_a,TT4G35A,Teacher collaboration and professional culture. Item A.
teacher_collaboration_and_professional_culture_b,TT4G35B,Teacher collaboration and professional culture. Item B.
teacher_collaboration_and_professional_culture_c,TT4G35C,Teacher collaboration and professional culture. Item C.
teacher_collaboration_and_professional_culture_d,TT4G35D,Teacher collaboration and professional culture. Item D.
teacher_collaboration_and_professional_culture_e,TT4G35E,Teacher collaboration and professional culture. Item E.
teacher_collaboration_and_professional_culture_f,TT4G35F,Teacher collaboration and professional culture. Item F.
teacher_collaboration_and_professional_culture_g,TT4G35G,Teacher collaboration and professional culture. Item G.
teacher_collaboration_and_professional_culture_h,TT4G35H,Teacher collaboration and professional culture. Item H.
teacher_collaboration_and_professional_culture_i,TT4G35I,Teacher collaboration and professional culture. Item I.
teacher_collaboration_and_professional_culture_j,TT4G35J,Teacher collaboration and professional culture. Item J.
teacher_views_about_school_leadership_and_decision_making,TT4G36,Teacher views about school leadership and decision-making.
school_leadership_support_and_working_environment_a,TT4G37A,"School leadership, support, and working environment. Item A."
school_leadership_support_and_working_environment_b,TT4G37B,"School leadership, support, and working environment. Item B."
school_leadership_support_and_working_environment_c,TT4G37C,"School leadership, support, and working environment. Item C."
school_leadership_support_and_working_environment_d,TT4G37D,"School leadership, support, and working environment. Item D."
school_leadership_support_and_working_environment_e,TT4G37E,"School leadership, support, and working environment. Item E."
school_leadership_support_and_working_environment_f,TT4G37F,"School leadership, support, and working environment. Item F."
school_leadership_support_and_working_environment_g,TT4G37G,"School leadership, support, and working environment. Item G."
school_leadership_support_and_working_environment_h,TT4G37H,"School leadership, support, and working environment. Item H."
school_leadership_support_and_working_environment_i,TT4G37I,"School leadership, support, and working environment. Item I."
frequency_of_school_student_behaviour_or_climate_issues_a,TT4G38A,Frequency of school/student behaviour or climate issues. Item A.
frequency_of_school_student_behaviour_or_climate_issues_b,TT4G38B,Frequency of school/student behaviour or climate issues. Item B.
frequency_of_school_student_behaviour_or_climate_issues_c,TT4G38C,Frequency of school/student behaviour or climate issues. Item C.
frequency_of_school_student_behaviour_or_climate_issues_d,TT4G38D,Frequency of school/student behaviour or climate issues. Item D.
frequency_of_school_student_behaviour_or_climate_issues_e,TT4G38E,Frequency of school/student behaviour or climate issues. Item E.
frequency_of_school_student_behaviour_or_climate_issues_f,TT4G38F,Frequency of school/student behaviour or climate issues. Item F.
target_class_characteristics_and_teaching_context_a,TT4G47A,Target class characteristics and teaching context. Item A.
target_class_characteristics_and_teaching_context_b,TT4G47B,Target class characteristics and teaching context. Item B.
target_class_characteristics_and_teaching_context_c,TT4G47C,Target class characteristics and teaching context. Item C.
target_class_characteristics_and_teaching_context_d,TT4G47D,Target class characteristics and teaching context. Item D.
target_class_characteristics_and_teaching_context_e,TT4G47E,Target class characteristics and teaching context. Item E.
target_class_characteristics_and_teaching_context_f,TT4G47F,Target class characteristics and teaching context. Item F.
target_class_characteristics_and_teaching_context_g,TT4G47G,Target class characteristics and teaching context. Item G.
target_class_characteristics_and_teaching_context_h,TT4G47H,Target class characteristics and teaching context. Item H.
target_class_characteristics_and_teaching_context_i,TT4G47I,Target class characteristics and teaching context. Item I.
target_class_characteristics_and_teaching_context_j,TT4G47J,Target class characteristics and teaching context. Item J.
target_class_characteristics_and_teaching_context_k,TT4G47K,Target class characteristics and teaching context. Item K.
subjects_taught_to_the_target_class_primary_only_detailed_su_a,TT4G48A,Subjects taught to the target class; primary-only detailed subject follow-ups are coded TT4G48BA-TT4G48BL. Item A.
subjects_taught_to_the_target_class_primary_only_detailed_su_ba,TT4G48BA,Subjects taught to the target class; primary-only detailed subject follow-ups are coded TT4G48BA-TT4G48BL. Item BA.
subjects_taught_to_the_target_class_primary_only_detailed_su_bb,TT4G48BB,Subjects taught to the target class; primary-only detailed subject follow-ups are coded TT4G48BA-TT4G48BL. Item BB.
subjects_taught_to_the_target_class_primary_only_detailed_su_bc,TT4G48BC,Subjects taught to the target class; primary-only detailed subject follow-ups are coded TT4G48BA-TT4G48BL. Item BC.
subjects_taught_to_the_target_class_primary_only_detailed_su_bd,TT4G48BD,Subjects taught to the target class; primary-only detailed subject follow-ups are coded TT4G48BA-TT4G48BL. Item BD.
subjects_taught_to_the_target_class_primary_only_detailed_su_be,TT4G48BE,Subjects taught to the target class; primary-only detailed subject follow-ups are coded TT4G48BA-TT4G48BL. Item BE.
subjects_taught_to_the_target_class_primary_only_detailed_su_bf,TT4G48BF,Subjects taught to the target class; primary-only detailed subject follow-ups are coded TT4G48BA-TT4G48BL. Item BF.
subjects_taught_to_the_target_class_primary_only_detailed_su_bg,TT4G48BG,Subjects taught to the target class; primary-only detailed subject follow-ups are coded TT4G48BA-TT4G48BL. Item BG.
subjects_taught_to_the_target_class_primary_only_detailed_su_bh,TT4G48BH,Subjects taught to the target class; primary-only detailed subject follow-ups are coded TT4G48BA-TT4G48BL. Item BH.
subjects_taught_to_the_target_class_primary_only_detailed_su_bi,TT4G48BI,Subjects taught to the target class; primary-only detailed subject follow-ups are coded TT4G48BA-TT4G48BL. Item BI.
subjects_taught_to_the_target_class_primary_only_detailed_su_bj,TT4G48BJ,Subjects taught to the target class; primary-only detailed subject follow-ups are coded TT4G48BA-TT4G48BL. Item BJ.
subjects_taught_to_the_target_class_primary_only_detailed_su_bk,TT4G48BK,Subjects taught to the target class; primary-only detailed subject follow-ups are coded TT4G48BA-TT4G48BL. Item BK.
subjects_taught_to_the_target_class_primary_only_detailed_su_bl,TT4G48BL,Subjects taught to the target class; primary-only detailed subject follow-ups are coded TT4G48BA-TT4G48BL. Item BL.
language_of_instruction_language_background_for_the_target_c,TT4G49,Language of instruction / language background for the target class.
target_class_composition_and_student_characteristics_a,TT4G50A,Target class composition and student characteristics. Item A.
target_class_composition_and_student_characteristics_b,TT4G50B,Target class composition and student characteristics. Item B.
target_class_composition_and_student_characteristics_c,TT4G50C,Target class composition and student characteristics. Item C.
teaching_practices_used_in_the_target_class_a,TT4G51A,Teaching practices used in the target class. Item A.
teaching_practices_used_in_the_target_class_b,TT4G51B,Teaching practices used in the target class. Item B.
teaching_practices_used_in_the_target_class_c,TT4G51C,Teaching practices used in the target class. Item C.
teaching_practices_used_in_the_target_class_d,TT4G51D,Teaching practices used in the target class. Item D.
teaching_practices_used_in_the_target_class_e,TT4G51E,Teaching practices used in the target class. Item E.
teaching_practices_used_in_the_target_class_f,TT4G51F,Teaching practices used in the target class. Item F.
teaching_practices_used_in_the_target_class_g,TT4G51G,Teaching practices used in the target class. Item G.
teaching_practices_used_in_the_target_class_h,TT4G51H,Teaching practices used in the target class. Item H.
teaching_practices_used_in_the_target_class_i,TT4G51I,Teaching practices used in the target class. Item I.
teaching_practices_used_in_the_target_class_j,TT4G51J,Teaching practices used in the target class. Item J.
teaching_practices_used_in_the_target_class_k,TT4G51K,Teaching practices used in the target class. Item K.
teaching_practices_used_in_the_target_class_l,TT4G51L,Teaching practices used in the target class. Item L.
teaching_practices_used_in_the_target_class_m,TT4G51M,Teaching practices used in the target class. Item M.
teaching_practices_used_in_the_target_class_n,TT4G51N,Teaching practices used in the target class. Item N.
teaching_practices_used_in_the_target_class_o,TT4G51O,Teaching practices used in the target class. Item O.
assessment_practices_used_in_the_target_class_a,TT4G52A,Assessment practices used in the target class. Item A.
assessment_practices_used_in_the_target_class_b,TT4G52B,Assessment practices used in the target class. Item B.
assessment_practices_used_in_the_target_class_c,TT4G52C,Assessment practices used in the target class. Item C.
assessment_practices_used_in_the_target_class_d,TT4G52D,Assessment practices used in the target class. Item D.
assessment_practices_used_in_the_target_class_e,TT4G52E,Assessment practices used in the target class. Item E.
assessment_practices_used_in_the_target_class_f,TT4G52F,Assessment practices used in the target class. Item F.
assessment_practices_used_in_the_target_class_g,TT4G52G,Assessment practices used in the target class. Item G.
assessment_practices_used_in_the_target_class_h,TT4G52H,Assessment practices used in the target class. Item H.
assessment_practices_used_in_the_target_class_i,TT4G52I,Assessment practices used in the target class. Item I.
assessment_practices_used_in_the_target_class_j,TT4G52J,Assessment practices used in the target class. Item J.
assessment_practices_used_in_the_target_class_k,TT4G52K,Assessment practices used in the target class. Item K.
